nome_municipio,nome_delegacia,ano_ocorrencia,mes_ocorrencia,data_ocorrencia_bo,hora_ocorrencia_bo,periodo_ocorrencia,dia_semana,local_ocorrencia,bairro,logradouro,latitude,longitude,artigo_ocorrencia,tipo_ocorrencia
Sorocaba,Ddm Sorocaba,2025,12,2024-12-31,20:00:00,Não Informado,Terça-Feira,Casa,Vila Amato,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,12,2024-12-09,,Em Hora Incerta,Segunda-Feira,Casa,Jardim Boa Esperanca,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,1,2025-01-16,,Em Hora Incerta,Quinta-Feira,Casa,Éden,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,1,2025-01-24,,Em Hora Incerta,Sexta-Feira,Clínica,Éden,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,12,2024-12-31,00:10:00,Não Informado,Terça-Feira,Casa,Vila Dálmatas,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-03,11:08:00,Não Informado,Sexta-Feira,Via Pública,Jardim Alegria,Rua Aníbal Leite Da Cruz,-23.4113012949999,-47.4104778339999,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-05,22:00:00,Não Informado,Domingo,Casa,Aparecidinha,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-10,08:00:17,Não Informado,Sexta-Feira,Casa,Não Informado,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-15,22:10:00,Não Informado,Quarta-Feira,Casa,Nilton Torres,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-19,20:00:00,Não Informado,Domingo,Casa,Aparecidinha,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-28,11:03:00,Não Informado,Terça-Feira,Casa,Cajuru Do Sul,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
