codigo_bo,nome_municipio,nome_delegacia,ano_ocorrencia,mes_ocorrencia,data_ocorrencia_bo,hora_ocorrencia_bo,periodo_ocorrencia,dia_semana,local_ocorrencia,bairro,logradouro,latitude,longitude,artigo_ocorrencia,tipo_ocorrencia
Fw2709,Sorocaba,Ddm Sorocaba,2025,4,2025-04-22,,Em Hora Incerta,Terça-Feira,Casa,Jardim Sao Paulo,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Gb9295,Sorocaba,Ddm Sorocaba,2025,4,2025-04-23,17:30:14,Não Informado,Quarta-Feira,Casa,Jardim Sao Paulo,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Gf0905,Sorocaba,Ddm Sorocaba,2025,7,2020-07-10,,Em Hora Incerta,Sexta-Feira,Casa,Jardim Wanel Ville Iii,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Fd8137,Sorocaba,Ddm Sorocaba,2025,4,2025-04-07,19:48:00,Não Informado,Segunda-Feira,Casa,Jardim Simus,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ft8075,Sorocaba,Ddm Sorocaba,2025,4,2025-04-15,04:42:00,Não Informado,Terça-Feira,Casas,Ipiranga,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ga3792,Sorocaba,Ddm Sorocaba,2025,4,2025-04-24,15:09:00,Não Informado,Quinta-Feira,Casa,Jardim Sao Paulo,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Gb5969,Sorocaba,Ddm Sorocaba,2025,4,2025-04-16,19:00:00,Não Informado,Quarta-Feira,Casa,Wanel Ville,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ey5324,Sorocaba,Ddm Sorocaba,2025,4,2025-04-03,14:00:00,Não Informado,Quinta-Feira,Casa,Vila Zacarias,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fe4236,Sorocaba,Ddm Sorocaba,2025,4,2025-04-08,13:00:00,Não Informado,Terça-Feira,Casa,Vila Barcelona,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fp8030,Sorocaba,Ddm Sorocaba,2025,4,2025-04-15,07:00:00,Não Informado,Terça-Feira,Casa,Jardim Santa Catarina,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Fd5831,Sorocaba,Ddm Sorocaba,2025,4,2025-04-08,09:10:00,Não Informado,Terça-Feira,Casa,Parque Das Laranjeiras,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Fy7392,Sorocaba,Ddm Sorocaba,2025,4,2025-04-23,12:30:00,Não Informado,Quarta-Feira,Casa,Jardim São Conrado,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Furto (Art. 155),Furto - Outros
Fh8207,Sorocaba,Ddm Sorocaba,2025,4,2025-04-10,14:23:00,Não Informado,Quinta-Feira,Casa,Jardim Santa Lucia,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Gb5065,Votorantim,Ddm Votorantim,2025,3,2025-03-13,09:30:00,Não Informado,Quinta-Feira,Casa,Green Valley,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Fw4377,Votorantim,Ddm Votorantim,2025,4,2025-04-19,04:00:56,Não Informado,Sábado,Casa,Parque Sao Joao,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ey4528,Votorantim,Ddm Votorantim,2025,4,2025-04-10,,A Noite,Quinta-Feira,Casa,Pró-Morar,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Gf2835,Votorantim,Ddm Votorantim,2025,4,2025-04-27,20:30:00,Não Informado,Domingo,Casa,Altos De Votorantim,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fy3072,Votorantim,Ddm Votorantim,2025,7,2019-07-01,14:09:00,Não Informado,Segunda-Feira,Casa,Parque Bela Vista,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Ex3260,Votorantim,Ddm Votorantim,2025,4,2025-04-03,15:00:00,Não Informado,Quinta-Feira,Casa,Centro,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Gh7042,Votorantim,Ddm Votorantim,2025,3,2025-03-14,,Em Hora Incerta,Sexta-Feira,Casa,Bairro Rio Acima,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Hs7319,Sorocaba,Ddm Sorocaba,2025,5,2025-05-15,20:40:00,Não Informado,Quinta-Feira,Casa,Vila Mineirao,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Gt4356,Sorocaba,Ddm Sorocaba,2025,5,2025-05-09,03:40:00,Não Informado,Sexta-Feira,Casa,Jardim Santa Rosália,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Hl4269,Sorocaba,Ddm Sorocaba,2025,5,2025-05-20,23:59:00,Não Informado,Terça-Feira,Casa,Jardim Brasilandia,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Gy6572,Sorocaba,Ddm Sorocaba,2025,12,2024-12-27,,Em Hora Incerta,Sexta-Feira,Casa,Vila Haro,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Gr6166,Sorocaba,Ddm Sorocaba,2025,5,2025-05-08,08:40:00,Não Informado,Quinta-Feira,Casa,Além Ponte,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
